Policy Number,Policy Effective Date,Policy Expiration Date,Agency ID,Underwriting Company ID,Cancel Date
1002895,8/29/2013,8/29/2014,12,3,NULL
1003124,7/30/2013,7/30/2014,1,2,NULL
1003142,2/23/2014,2/23/2015,17,4,NULL
1003355,3/13/2013,3/13/2014,20,7,NULL
1003439,10/19/2013,10/19/2014,15,2,NULL
1003497,5/6/2013,5/6/2014,8,7,NULL
1003519,1/20/2014,1/20/2015,15,1,NULL
1003532,3/6/2013,3/6/2014,3,3,NULL
1003557,12/18/2013,12/18/2014,1,4,NULL
1003637,6/29/2013,6/29/2014,1,6,NULL
1003681,9/9/2013,9/9/2014,19,5,NULL
1003702,1/4/2014,1/4/2015,20,6,NULL
1003848,6/3/2013,6/3/2014,18,6,NULL
1003884,7/21/2013,7/21/2014,15,2,NULL
1003996,10/10/2013,10/10/2014,5,3,NULL
1004089,5/27/2013,5/27/2014,18,7,NULL
1004158,9/30/2013,9/30/2014,17,3,NULL
1004185,3/11/2013,3/11/2014,16,5,NULL
1004356,12/26/2013,12/26/2014,14,1,NULL
1004539,11/5/2013,11/5/2014,15,2,NULL
1004587,10/25/2013,10/25/2014,16,7,4/25/2014
1004590,3/16/2013,3/16/2014,3,4,NULL
1004646,7/19/2013,7/19/2014,19,1,NULL
1004870,6/29/2013,6/29/2014,4,6,NULL
1004999,2/21/2014,2/21/2015,10,2,NULL
1005095,2/16/2014,2/16/2015,9,4,NULL
1005214,6/5/2013,6/5/2014,19,6,NULL
1005267,8/30/2013,8/30/2014,9,1,NULL
1005351,9/20/2013,9/20/2014,3,4,NULL
1005392,11/14/2013,11/14/2014,6,4,NULL
1005404,12/16/2013,12/16/2014,7,5,NULL
1005442,7/12/2013,7/12/2014,19,5,NULL
1005497,11/20/2013,11/20/2014,13,4,NULL
1005552,6/15/2013,6/15/2014,1,2,NULL
1005750,3/21/2013,3/21/2014,8,6,NULL
1006019,11/25/2013,11/25/2014,19,2,NULL
1006324,11/6/2013,11/6/2014,4,1,NULL
1006674,5/2/2013,5/2/2014,6,1,5/10/2014
1006940,8/4/2013,8/4/2014,17,2,NULL
1007084,8/18/2013,8/18/2014,4,4,NULL
1007335,12/9/2013,12/9/2014,14,7,NULL
1007416,5/19/2013,5/19/2014,13,2,NULL
1007493,12/2/2013,12/2/2014,9,4,NULL
1007607,11/2/2013,11/2/2014,10,2,NULL
1007836,1/22/2014,1/22/2015,12,7,NULL
1007839,10/1/2013,10/1/2014,19,7,NULL
1007850,11/14/2013,11/14/2014,1,2,NULL
1007895,9/12/2013,9/12/2014,17,7,NULL
1008145,4/17/2013,4/17/2014,14,4,NULL
1008198,10/22/2013,10/22/2014,9,7,NULL
1008237,9/22/2013,9/22/2014,5,6,NULL
1008321,7/31/2013,7/31/2014,4,7,NULL
1008755,1/21/2014,1/21/2015,12,3,NULL
1008803,1/22/2014,1/22/2015,16,5,NULL
1008862,1/11/2014,1/11/2015,20,2,NULL
1009054,3/27/2013,3/27/2014,12,3,NULL
1009099,8/1/2013,8/1/2014,3,6,NULL
1009308,3/13/2013,3/13/2014,2,6,NULL
1009445,1/1/2014,1/1/2015,3,2,5/1/2014
1009475,12/21/2013,12/21/2014,17,6,NULL
1009484,9/6/2013,9/6/2014,13,5,2/23/2014
1009664,10/22/2013,10/22/2014,19,4,NULL
1009879,10/22/2013,10/22/2014,19,7,NULL
1009930,9/8/2013,9/8/2014,19,7,NULL
1010170,2/16/2014,2/16/2015,5,4,NULL
1010302,4/12/2013,4/12/2014,10,1,NULL
1010329,9/26/2013,9/26/2014,12,3,NULL
1010374,11/8/2013,11/8/2014,2,6,NULL
1010450,12/5/2013,12/5/2014,3,6,NULL
1010464,9/24/2013,9/24/2014,6,5,NULL
1010531,5/19/2013,5/19/2014,10,4,NULL
1010562,10/11/2013,10/11/2014,5,4,NULL
1010577,1/12/2014,1/12/2015,19,3,NULL
1010831,5/7/2013,5/7/2014,2,2,NULL
1010848,4/10/2013,4/10/2014,18,1,NULL
1011103,6/9/2013,6/9/2014,20,7,NULL
1011104,3/13/2013,3/13/2014,5,3,NULL
1011129,9/2/2013,9/2/2014,6,2,NULL
1011130,9/14/2013,9/14/2014,5,3,NULL
1011226,12/30/2013,12/30/2014,6,7,NULL
1011289,8/28/2013,8/28/2014,7,1,NULL
1011291,4/3/2013,4/3/2014,17,2,NULL
1011377,6/11/2013,6/11/2014,14,6,NULL
1011573,12/2/2013,12/2/2014,20,2,NULL
1011781,12/11/2013,12/11/2014,4,1,NULL
1011817,4/10/2013,4/10/2014,8,6,4/30/2014
1011914,12/8/2013,12/8/2014,16,1,NULL
1012081,9/29/2013,9/29/2014,8,4,NULL
1012354,4/12/2013,4/12/2014,2,5,NULL
1012386,10/12/2013,10/12/2014,17,3,NULL
1012467,11/8/2013,11/8/2014,20,3,NULL
1012560,9/19/2013,9/19/2014,3,2,5/11/2014
1012587,8/18/2013,8/18/2014,9,2,NULL
1012832,7/1/2013,7/1/2014,14,1,NULL
1013090,4/3/2013,4/3/2014,8,4,NULL
1013106,1/7/2014,1/7/2015,17,2,NULL
1013140,2/9/2014,2/9/2015,10,7,NULL
1013186,6/12/2013,6/12/2014,20,7,NULL
1013303,6/26/2013,6/26/2014,16,2,5/23/2014
1013322,6/26/2013,6/26/2014,4,2,NULL
1013523,11/23/2013,11/23/2014,18,3,NULL
1013610,2/28/2014,2/28/2015,16,4,NULL
1013623,2/20/2014,2/20/2015,14,1,NULL
1013724,6/6/2013,6/6/2014,3,5,NULL
1013891,6/21/2013,6/21/2014,11,6,NULL
1013934,12/9/2013,12/9/2014,17,7,NULL
1014037,8/12/2013,8/12/2014,2,1,NULL
1014043,8/16/2013,8/16/2014,11,5,NULL
1014252,6/8/2013,6/8/2014,15,3,NULL
1014349,7/10/2013,7/10/2014,14,5,NULL
1014413,4/3/2013,4/3/2014,12,2,NULL
1014486,4/9/2013,4/9/2014,19,3,NULL
1014530,1/9/2014,1/9/2015,17,3,NULL
1014679,12/16/2013,12/16/2014,15,6,3/21/2014
1014927,6/29/2013,6/29/2014,9,1,NULL
1014933,3/20/2013,3/20/2014,1,2,NULL
1015127,5/28/2013,5/28/2014,12,6,NULL
1015141,5/22/2013,5/22/2014,5,7,NULL
1015145,7/29/2013,7/29/2014,18,7,NULL
1015150,7/11/2013,7/11/2014,14,4,NULL
1015200,6/16/2013,6/16/2014,17,1,NULL
1015237,2/22/2014,2/22/2015,9,3,3/18/2014
1015262,5/11/2013,5/11/2014,15,6,NULL
1015298,10/28/2013,10/28/2014,19,7,NULL
1015452,10/31/2013,10/31/2014,19,1,NULL
1016058,7/2/2013,7/2/2014,12,3,NULL
1016072,7/25/2013,7/25/2014,9,7,NULL
1016176,5/4/2013,5/4/2014,11,7,NULL
1016376,10/16/2013,10/16/2014,16,4,NULL
1016434,1/23/2014,1/23/2015,5,2,NULL
1016485,12/18/2013,12/18/2014,3,1,5/27/2014
1016619,10/21/2013,10/21/2014,18,6,NULL
1016620,11/22/2013,11/22/2014,2,1,NULL
1016700,6/3/2013,6/3/2014,3,3,NULL
1016934,1/25/2014,1/25/2015,1,6,NULL
1016982,1/17/2014,1/17/2015,11,5,NULL
1017182,8/5/2013,8/5/2014,1,2,NULL
1017192,9/23/2013,9/23/2014,20,6,NULL
1017273,5/23/2013,5/23/2014,9,4,NULL
1017319,4/16/2013,4/16/2014,8,1,NULL
1017501,11/26/2013,11/26/2014,13,1,NULL
1017539,11/23/2013,11/23/2014,8,6,NULL
1017544,9/20/2013,9/20/2014,2,7,NULL
1017708,9/9/2013,9/9/2014,11,5,NULL
1017754,12/6/2013,12/6/2014,16,3,NULL
1017811,9/17/2013,9/17/2014,18,7,NULL
1018036,7/10/2013,7/10/2014,12,1,NULL
1018067,8/29/2013,8/29/2014,10,4,NULL
1018114,12/27/2013,12/27/2014,19,5,NULL
1018156,3/15/2013,3/15/2014,16,1,NULL
1018232,8/18/2013,8/18/2014,9,4,NULL
1018569,7/10/2013,7/10/2014,15,3,NULL
1018583,2/4/2014,2/4/2015,10,5,3/14/2014
1018663,9/9/2013,9/9/2014,3,5,2/14/2014
1018787,8/2/2013,8/2/2014,9,1,NULL
1018833,11/25/2013,11/25/2014,8,2,3/12/2014
1019006,8/27/2013,8/27/2014,7,5,NULL
1019047,2/26/2014,2/26/2015,5,6,NULL
1019049,9/14/2013,9/14/2014,14,5,NULL
1019119,12/23/2013,12/23/2014,3,2,NULL
1019192,1/19/2014,1/19/2015,17,3,NULL
1019436,3/19/2013,3/19/2014,9,4,NULL
1019509,7/2/2013,7/2/2014,14,3,NULL
1019603,2/6/2014,2/6/2015,10,7,NULL
1019748,1/18/2014,1/18/2015,8,3,NULL
1019761,8/16/2013,8/16/2014,17,2,NULL
1020163,10/3/2013,10/3/2014,3,7,NULL
1020185,6/11/2013,6/11/2014,20,4,NULL
1020443,7/7/2013,7/7/2014,15,6,NULL
1020455,3/13/2013,3/13/2014,6,1,NULL
1020655,11/9/2013,11/9/2014,9,5,NULL
1020667,12/11/2013,12/11/2014,7,7,5/12/2014
1020669,9/25/2013,9/25/2014,3,1,NULL
1020687,11/17/2013,11/17/2014,1,4,NULL
1020944,4/26/2013,4/26/2014,5,4,NULL
1021004,5/29/2013,5/29/2014,17,6,NULL
1021124,6/24/2013,6/24/2014,17,6,NULL
1021179,8/22/2013,8/22/2014,1,1,NULL
1021287,9/13/2013,9/13/2014,13,5,4/2/2014
1021336,1/14/2014,1/14/2015,8,3,NULL
1021393,9/5/2013,9/5/2014,4,2,NULL
1021460,4/23/2013,4/23/2014,15,7,NULL
1021541,8/14/2013,8/14/2014,20,4,NULL
1021626,7/31/2013,7/31/2014,16,7,4/5/2014
1021762,12/31/2013,12/31/2014,9,2,3/10/2014
1021823,1/18/2014,1/18/2015,8,1,NULL
1021982,3/5/2013,3/5/2014,8,5,NULL
1022061,8/31/2013,8/31/2014,7,5,NULL
1022179,6/9/2013,6/9/2014,7,2,NULL
1022284,5/17/2013,5/17/2014,15,3,NULL
1022290,3/19/2013,3/19/2014,1,4,NULL
1022291,9/22/2013,9/22/2014,18,4,4/15/2014
1022313,12/14/2013,12/14/2014,14,7,2/13/2014
1022410,12/16/2013,12/16/2014,2,6,NULL
1022473,5/30/2013,5/30/2014,13,5,NULL
1022671,10/14/2013,10/14/2014,3,6,NULL
1022975,4/7/2013,4/7/2014,9,1,NULL
1022980,4/7/2013,4/7/2014,11,5,NULL
1023084,11/19/2013,11/19/2014,9,3,NULL
1023133,11/11/2013,11/11/2014,18,4,NULL
1023329,9/9/2013,9/9/2014,5,7,NULL
1024006,4/15/2013,4/15/2014,14,2,NULL
1024075,9/7/2013,9/7/2014,8,6,NULL
1024231,1/30/2014,1/30/2015,9,1,NULL
1024558,1/31/2014,1/31/2015,14,7,NULL
1024581,3/15/2013,3/15/2014,6,1,NULL
1025309,3/12/2013,3/12/2014,12,6,NULL
1025403,4/11/2013,4/11/2014,2,1,NULL
1025411,9/27/2013,9/27/2014,6,6,NULL
1025548,2/9/2014,2/9/2015,17,6,NULL
1025660,11/6/2013,11/6/2014,11,5,6/1/2014
1025752,5/29/2013,5/29/2014,9,1,NULL
1025805,2/8/2014,2/8/2015,20,1,NULL
1026171,9/2/2013,9/2/2014,15,7,NULL
1026291,10/27/2013,10/27/2014,5,3,NULL
1026309,12/18/2013,12/18/2014,19,6,NULL
1026523,8/2/2013,8/2/2014,1,5,NULL
1026558,6/24/2013,6/24/2014,10,5,NULL
1026625,3/26/2013,3/26/2014,17,4,NULL
1026749,12/17/2013,12/17/2014,9,1,NULL
1026758,4/23/2013,4/23/2014,8,1,NULL
1027243,6/8/2013,6/8/2014,10,4,2/24/2014
1027292,11/4/2013,11/4/2014,19,6,NULL
1027397,10/22/2013,10/22/2014,17,2,NULL
1027450,2/11/2014,2/11/2015,1,5,NULL
1027526,2/14/2014,2/14/2015,14,1,NULL
1027721,8/29/2013,8/29/2014,19,4,NULL
1027752,12/5/2013,12/5/2014,19,2,NULL
1027774,2/20/2014,2/20/2015,18,2,NULL
1028076,9/25/2013,9/25/2014,16,3,NULL
1028152,4/16/2013,4/16/2014,18,4,2/14/2014
1028274,9/29/2013,9/29/2014,20,4,NULL
1028325,6/22/2013,6/22/2014,5,3,NULL
1028355,5/7/2013,5/7/2014,6,3,NULL
1028503,4/7/2013,4/7/2014,15,2,NULL
1028573,8/15/2013,8/15/2014,15,1,NULL
1028902,1/8/2014,1/8/2015,12,1,NULL
1029138,12/18/2013,12/18/2014,19,1,NULL
1029247,1/13/2014,1/13/2015,12,5,3/8/2014
1029363,11/5/2013,11/5/2014,6,2,NULL
1029627,5/28/2013,5/28/2014,2,1,NULL
1029740,11/27/2013,11/27/2014,11,6,NULL
1029805,4/25/2013,4/25/2014,3,4,NULL
1029830,4/16/2013,4/16/2014,6,1,NULL
1029874,5/8/2013,5/8/2014,3,2,NULL
1002502,11/2/2013,11/2/2014,10,4,NULL
1003069,4/19/2013,4/19/2014,11,3,NULL
1003464,6/13/2013,6/13/2014,17,7,NULL
1007539,1/26/2014,1/26/2015,2,1,NULL
1011867,8/22/2013,8/22/2014,6,1,NULL
1017640,1/22/2014,1/22/2015,7,6,NULL
1017949,1/25/2014,1/25/2015,7,1,NULL
1022336,1/28/2014,1/28/2015,9,1,NULL
1028244,4/30/2013,4/30/2014,6,2,NULL
1000743,3/15/2013,3/15/2014,9,7,NULL
1000956,3/2/2013,3/2/2014,14,2,NULL
1001033,5/7/2013,5/7/2014,4,5,NULL
1001385,11/30/2013,11/30/2014,17,3,NULL
1001413,7/21/2013,7/21/2014,3,1,NULL
1001924,1/11/2014,1/11/2015,11,7,NULL
1002202,11/29/2013,11/29/2014,16,6,NULL
1002407,11/25/2013,11/25/2014,1,5,NULL
1002550,10/31/2013,10/31/2014,1,7,NULL
1002831,4/22/2013,4/22/2014,9,7,NULL
1002850,2/6/2013,2/6/2014,19,7,NULL
1003006,3/29/2013,3/29/2014,2,7,4/14/2014
1003055,11/23/2013,11/23/2014,3,7,NULL
1003502,1/8/2014,1/8/2015,12,7,4/1/2014
1003566,4/25/2013,4/25/2014,16,6,NULL
1003784,8/16/2013,8/16/2014,16,3,NULL
1003789,3/13/2013,3/13/2014,4,4,NULL
1003845,10/7/2013,10/7/2014,7,4,NULL
1004175,11/24/2013,11/24/2014,15,1,NULL
1004223,11/2/2013,11/2/2014,9,3,NULL
1004666,8/16/2013,8/16/2014,9,5,NULL
1004730,8/19/2013,8/19/2014,18,3,NULL
1004741,2/15/2013,2/15/2014,9,6,NULL
1004962,1/4/2014,1/4/2015,6,3,2/21/2014
1005257,11/22/2013,11/22/2014,6,2,4/15/2014
1005494,3/28/2013,3/28/2014,14,4,5/2/2014
1005558,8/9/2013,8/9/2014,3,7,NULL
1005680,6/18/2013,6/18/2014,16,2,NULL
1005683,4/20/2013,4/20/2014,15,6,NULL
1005802,12/29/2013,12/29/2014,14,3,3/22/2014
1006050,10/8/2013,10/8/2014,5,5,4/2/2014
1006084,4/3/2013,4/3/2014,14,4,NULL
1006109,1/12/2014,1/12/2015,17,5,NULL
1006129,12/8/2013,12/8/2014,4,2,NULL
1006138,10/31/2013,10/31/2014,3,6,NULL
1006213,11/3/2013,11/3/2014,11,7,NULL
1006906,5/26/2013,5/26/2014,9,7,NULL
1006943,12/17/2013,12/17/2014,7,5,NULL
1007083,8/15/2013,8/15/2014,8,2,NULL
1007390,12/17/2013,12/17/2014,14,5,NULL
1007457,6/27/2013,6/27/2014,20,6,NULL
1008203,4/6/2013,4/6/2014,17,4,NULL
1008355,1/6/2014,1/6/2015,6,6,NULL
1008504,10/26/2013,10/26/2014,7,4,NULL
1008647,3/4/2013,3/4/2014,1,3,NULL
1009038,8/7/2013,8/7/2014,19,7,NULL
1009552,1/15/2014,1/15/2015,6,2,NULL
1009568,5/9/2013,5/9/2014,1,2,NULL
1010219,1/3/2014,1/3/2015,3,4,NULL
1010389,2/2/2013,2/2/2014,2,3,NULL
1010542,4/17/2013,4/17/2014,7,5,NULL
1010623,3/2/2013,3/2/2014,17,3,NULL
1010736,8/29/2013,8/29/2014,2,5,NULL
1011276,2/27/2013,2/27/2014,19,4,NULL
1011411,6/25/2013,6/25/2014,10,1,NULL
1011606,6/16/2013,6/16/2014,10,7,NULL
1011810,10/19/2013,10/19/2014,14,3,NULL
1012249,2/7/2013,2/7/2014,7,7,NULL
1012791,10/27/2013,10/27/2014,18,3,NULL
1012878,10/16/2013,10/16/2014,14,6,NULL
1013144,10/31/2013,10/31/2014,7,7,NULL
1013654,7/19/2013,7/19/2014,18,7,NULL
1013862,12/17/2013,12/17/2014,19,6,3/4/2014
1014260,10/20/2013,10/20/2014,17,6,NULL
1014361,8/28/2013,8/28/2014,8,3,NULL
1014909,9/25/2013,9/25/2014,19,5,NULL
1014947,4/27/2013,4/27/2014,20,7,NULL
1015956,8/21/2013,8/21/2014,7,2,NULL
1016265,12/7/2013,12/7/2014,20,6,NULL
1016337,7/19/2013,7/19/2014,6,5,NULL
1016776,3/6/2013,3/6/2014,7,2,NULL
1016831,2/25/2013,2/25/2014,20,6,NULL
1017029,8/22/2013,8/22/2014,2,4,NULL
1017153,12/28/2013,12/28/2014,20,2,NULL
1018670,6/8/2013,6/8/2014,10,4,NULL
1018763,12/26/2013,12/26/2014,6,3,NULL
1019143,11/14/2013,11/14/2014,12,7,NULL
1020305,6/25/2013,6/25/2014,18,7,NULL
1020504,1/21/2014,1/21/2015,3,5,NULL
1021214,2/28/2013,2/28/2014,17,5,2/18/2014
1021253,2/8/2013,2/8/2014,16,3,NULL
1022132,8/17/2013,8/17/2014,2,7,NULL
1022287,3/25/2013,3/25/2014,12,1,NULL
1022324,4/27/2013,4/27/2014,19,2,NULL
1023094,7/14/2013,7/14/2014,9,5,NULL
1023172,9/7/2013,9/7/2014,11,4,1/16/2014
1023665,10/6/2013,10/6/2014,7,7,NULL
1024142,12/1/2013,12/1/2014,9,4,NULL
1024536,12/19/2013,12/19/2014,6,3,NULL
1024881,5/1/2013,5/1/2014,20,2,NULL
1025081,10/6/2013,10/6/2014,3,3,NULL
1025086,11/15/2013,11/15/2014,18,3,NULL
1025164,4/29/2013,4/29/2014,12,6,NULL
1025383,8/5/2013,8/5/2014,8,6,NULL
1025842,10/14/2013,10/14/2014,10,5,NULL
1026446,11/18/2013,11/18/2014,7,3,NULL
1026515,9/7/2013,9/7/2014,6,6,NULL
1027084,6/30/2013,6/30/2014,4,5,NULL
1027860,3/28/2013,3/28/2014,7,5,NULL
1028013,3/19/2013,3/19/2014,3,3,NULL
1028230,7/29/2013,7/29/2014,1,3,NULL
1028595,4/29/2013,4/29/2014,14,3,NULL
1029330,8/23/2013,8/23/2014,13,5,NULL
1029738,6/6/2013,6/6/2014,19,1,NULL
1000151,11/7/2013,11/7/2014,5,1,NULL
1000267,5/17/2013,5/17/2014,10,2,NULL
1000294,3/12/2013,3/12/2014,3,3,NULL
1000346,5/20/2013,5/20/2014,13,3,NULL
1000362,12/31/2013,12/31/2014,11,4,NULL
1000826,8/8/2013,8/8/2014,14,1,NULL
1000886,9/3/2013,9/3/2014,3,4,NULL
1000932,7/10/2013,7/10/2014,4,2,NULL
1001256,9/6/2013,9/6/2014,2,6,NULL
1001498,10/19/2013,10/19/2014,7,1,2/4/2014
1001537,9/22/2013,9/22/2014,17,2,NULL
1001576,2/11/2013,2/11/2014,10,7,NULL
1001781,5/8/2013,5/8/2014,5,1,NULL
1001826,8/11/2013,8/11/2014,9,2,NULL
1001932,1/7/2014,1/7/2015,12,5,NULL
1002128,1/1/2014,1/1/2015,4,3,NULL
1002345,8/3/2013,8/3/2014,12,4,NULL
1002422,4/30/2013,4/30/2014,15,2,NULL
1002515,11/28/2013,11/28/2014,19,3,NULL
1002655,2/16/2013,2/16/2014,9,4,NULL
1002855,9/6/2013,9/6/2014,16,5,NULL
1002861,8/3/2013,8/3/2014,15,2,NULL
1002998,10/23/2013,10/23/2014,1,2,NULL
1003165,8/13/2013,8/13/2014,13,4,NULL
1003210,5/23/2013,5/23/2014,12,4,NULL
1003212,1/14/2014,1/14/2015,15,3,NULL
1003213,4/24/2013,4/24/2014,1,5,NULL
1003224,6/29/2013,6/29/2014,13,7,NULL
1003257,11/19/2013,11/19/2014,15,7,4/15/2014
1003325,11/16/2013,11/16/2014,1,6,NULL
1003332,7/9/2013,7/9/2014,15,5,NULL
1003401,5/2/2013,5/2/2014,9,1,NULL
1003522,3/23/2013,3/23/2014,8,1,3/11/2014
1003543,10/8/2013,10/8/2014,10,7,NULL
1003705,12/17/2013,12/17/2014,7,1,NULL
1003849,7/16/2013,7/16/2014,6,2,NULL
1003880,3/13/2013,3/13/2014,4,6,NULL
1004137,9/9/2013,9/9/2014,5,6,NULL
1004161,2/24/2013,2/24/2014,5,2,NULL
1004172,3/4/2013,3/4/2014,8,3,NULL
1004399,10/23/2013,10/23/2014,1,3,NULL
1004411,3/15/2013,3/15/2014,3,3,NULL
1004468,9/27/2013,9/27/2014,4,1,NULL
1004654,4/30/2013,4/30/2014,20,1,NULL
1004939,6/19/2013,6/19/2014,3,4,NULL
1005008,4/2/2013,4/2/2014,4,7,NULL
1005016,3/12/2013,3/12/2014,8,1,NULL
1005075,7/31/2013,7/31/2014,6,6,NULL
1005194,1/9/2014,1/9/2015,9,3,NULL
1005199,5/21/2013,5/21/2014,19,5,NULL
1005454,8/8/2013,8/8/2014,2,2,NULL
1005551,11/28/2013,11/28/2014,4,3,NULL
1005576,2/6/2013,2/6/2014,4,5,NULL
1005628,9/21/2013,9/21/2014,11,2,NULL
1005630,1/13/2014,1/13/2015,15,5,4/6/2014
1005665,12/15/2013,12/15/2014,5,7,NULL
1005689,8/11/2013,8/11/2014,12,3,NULL
1005803,12/2/2013,12/2/2014,20,5,NULL
1005810,1/14/2014,1/14/2015,3,1,NULL
1006037,5/9/2013,5/9/2014,5,6,NULL
1006204,11/23/2013,11/23/2014,15,5,NULL
1006230,12/16/2013,12/16/2014,1,5,NULL
1006273,5/31/2013,5/31/2014,6,6,NULL
1006279,3/9/2013,3/9/2014,3,7,1/27/2014
1006325,12/29/2013,12/29/2014,3,3,2/12/2014
1006394,3/20/2013,3/20/2014,11,3,NULL
1006476,8/22/2013,8/22/2014,7,2,2/19/2014
1006644,12/19/2013,12/19/2014,18,2,NULL
1006767,10/25/2013,10/25/2014,10,4,NULL
1006812,1/25/2014,1/25/2015,7,2,11/12/2014
1006817,5/22/2013,5/22/2014,8,1,4/4/2014
1006858,7/21/2013,7/21/2014,12,7,NULL
1006871,3/30/2013,3/30/2014,6,7,NULL
1006930,7/6/2013,7/6/2014,20,4,NULL
1006936,5/15/2013,5/15/2014,13,3,NULL
1006952,8/3/2013,8/3/2014,12,7,NULL
1007113,5/19/2013,5/19/2014,16,3,NULL
1007453,2/10/2013,2/10/2014,2,2,NULL
1007473,5/17/2013,5/17/2014,6,4,4/27/2014
1007582,9/28/2013,9/28/2014,16,1,NULL
1007675,4/19/2013,4/19/2014,20,6,NULL
1007731,6/9/2013,6/9/2014,16,3,NULL
1007978,8/26/2013,8/26/2014,10,6,NULL
1008213,3/5/2013,3/5/2014,5,3,NULL
1008232,2/26/2013,2/26/2014,12,5,NULL
1008252,10/17/2013,10/17/2014,4,3,NULL
1008295,2/22/2013,2/22/2014,19,3,NULL
1008767,11/20/2013,11/20/2014,3,2,NULL
1008848,1/12/2014,1/12/2015,1,7,NULL
1009114,12/28/2013,12/28/2014,15,1,NULL
1009151,2/3/2013,2/3/2014,18,7,NULL
1009174,2/21/2013,2/21/2014,18,7,NULL
1009237,10/1/2013,10/1/2014,15,6,NULL
1009303,11/11/2013,11/11/2014,1,2,NULL
1009517,11/8/2013,11/8/2014,3,1,NULL
1009550,9/6/2013,9/6/2014,12,5,NULL
1009571,2/23/2013,2/23/2014,2,5,NULL
1009642,4/22/2013,4/22/2014,11,5,NULL
1009649,10/5/2013,10/5/2014,6,3,NULL
1009684,1/17/2014,1/17/2015,1,5,NULL
1009724,5/11/2013,5/11/2014,15,7,NULL
1009731,1/21/2014,1/21/2015,18,5,NULL
1010320,11/22/2013,11/22/2014,12,1,NULL
1010510,11/17/2013,11/17/2014,18,3,NULL
1010558,10/7/2013,10/7/2014,9,6,NULL
1010754,5/7/2013,5/7/2014,15,7,2/21/2014
1010890,7/9/2013,7/9/2014,19,4,NULL
1010895,2/8/2013,2/8/2014,7,5,NULL
1011078,3/13/2013,3/13/2014,7,4,NULL
1011152,7/12/2013,7/12/2014,17,2,NULL
1011162,3/2/2013,3/2/2014,15,4,NULL
1011262,4/21/2013,4/21/2014,12,6,NULL
1011301,1/17/2014,1/17/2015,2,6,NULL
1011315,10/12/2013,10/12/2014,10,2,NULL
1011400,10/8/2013,10/8/2014,16,2,NULL
1011403,3/6/2013,3/6/2014,7,2,NULL
1011472,6/30/2013,6/30/2014,3,2,NULL
1011519,7/2/2013,7/2/2014,1,6,NULL
1011552,4/9/2013,4/9/2014,8,7,NULL
1011583,5/13/2013,5/13/2014,8,3,NULL
1011601,7/30/2013,7/30/2014,4,7,NULL
1011616,2/18/2013,2/18/2014,14,3,NULL
1011622,9/3/2013,9/3/2014,9,4,NULL
1011669,7/1/2013,7/1/2014,12,2,2/5/2014
1011894,9/29/2013,9/29/2014,8,5,NULL
1011903,6/13/2013,6/13/2014,11,3,NULL
1012018,10/31/2013,10/31/2014,3,2,NULL
1012086,5/31/2013,5/31/2014,9,5,NULL
1012142,2/13/2013,2/13/2014,16,6,NULL
1012477,5/16/2013,5/16/2014,17,4,NULL
1012515,4/12/2013,4/12/2014,5,3,NULL
1012700,1/27/2014,1/27/2015,11,4,NULL
1013032,6/6/2013,6/6/2014,12,6,NULL
1013088,6/21/2013,6/21/2014,7,4,NULL
1013104,10/8/2013,10/8/2014,20,6,NULL
1013117,11/21/2013,11/21/2014,1,4,NULL
1013257,10/2/2013,10/2/2014,12,7,NULL
1013311,6/17/2013,6/17/2014,19,4,NULL
1013468,3/27/2013,3/27/2014,8,2,NULL
1013472,8/26/2013,8/26/2014,10,7,NULL
1013581,2/14/2013,2/14/2014,16,3,1/19/2014
1013649,7/24/2013,7/24/2014,11,7,NULL
1013726,1/7/2014,1/7/2015,17,5,NULL
1013729,1/21/2014,1/21/2015,8,6,NULL
1013933,4/27/2013,4/27/2014,3,7,NULL
1014205,12/31/2013,12/31/2014,3,7,NULL
1014234,4/14/2013,4/14/2014,18,2,NULL
1014398,6/9/2013,6/9/2014,18,3,3/22/2014
1014428,11/7/2013,11/7/2014,20,6,NULL
1014510,2/15/2013,2/15/2014,11,4,NULL
1014691,6/19/2013,6/19/2014,7,1,4/8/2014
1014724,8/10/2013,8/10/2014,17,2,NULL
1014856,8/22/2013,8/22/2014,7,6,NULL
1014944,3/25/2013,3/25/2014,17,3,NULL
1015041,2/12/2013,2/12/2014,1,7,NULL
1015045,3/13/2013,3/13/2014,8,4,NULL
1015241,11/16/2013,11/16/2014,6,5,1/22/2014
1015343,6/6/2013,6/6/2014,20,7,NULL
1015493,7/5/2013,7/5/2014,5,2,NULL
1015620,11/17/2013,11/17/2014,12,1,NULL
1015643,11/6/2013,11/6/2014,10,2,NULL
1015720,9/19/2013,9/19/2014,12,4,NULL
1015803,5/28/2013,5/28/2014,20,4,NULL
1015965,11/20/2013,11/20/2014,18,2,NULL
1015981,5/5/2013,5/5/2014,12,4,NULL
1015985,4/16/2013,4/16/2014,11,6,NULL
1016010,4/30/2013,4/30/2014,17,3,NULL
1016104,9/9/2013,9/9/2014,15,6,NULL
1016113,5/24/2013,5/24/2014,13,5,NULL
1016165,5/26/2013,5/26/2014,14,5,NULL
1016270,6/16/2013,6/16/2014,12,7,NULL
1016457,7/23/2013,7/23/2014,3,4,NULL
