Claim ID,Policy ID,Claimant Id,Vehicle ID,Claim Amount,Claim Description
1324,1024379,47400,77,8800,Bodily Injury Claims
205,1022717,25717,58,8750,Reimbursement for Property Repairs
262,1026014,29014,45,8700,Personal Injury
292,1026053,29053,45,8700,Injury by Uninsured or Underinsured Defendant
528,1010153,13153,63,4400,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
273,1026219,29219,25,8580,Personal Injury
1032,1008012,11012,75,8500,Third Party Car Insurance Claims
1193,1003667,6667,75,8500,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1341,1027921,30921,75,8500,Bodily Injury Claims
212,1021281,24281,86,8460,Bodily Injury Claims
396,1010323,13323,79,16900,Injury by Uninsured or Underinsured Defendant
301,1022048,25048,86,8460,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
254,1010643,13643,15,3800,Injury by Uninsured or Underinsured Defendant
689,1014810,17810,86,8460,Bodily Injury Claims
1120,1010233,13233,86,8460,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
819,1023716,26716,2,8450,Injury by Uninsured or Underinsured Defendant
808,1022453,25453,45,8410,Injury by Uninsured or Underinsured Defendant
803,1010685,13685,43,2320,Third Party Car Insurance Claims
1177,1010798,13798,71,8280,Property Damage Claims
325,1025211,28211,43,8700,Injury by Uninsured or Underinsured Defendant
968,1009812,12812,77,8250,Bodily Injury Claims
1065,1026382,29382,77,8250,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1200,1005948,8948,51,8250,Reimbursement for Property Repairs
1101,1011039,14039,21,3960,Third Party Car Insurance Claims
932,1000500,47521,20,8190,Injury by Uninsured or Underinsured Defendant
858,1022618,25618,54,8160,Personal Injury
1164,1022135,25135,55,8160,Reimbursement for Property Repairs
194,1019539,22539,24,8140,Injury by Uninsured or Underinsured Defendant
70,1021013,24013,16,8200,Injury by Uninsured or Underinsured Defendant
239,1008816,11816,46,8100,Personal Injury
1094,1026426,29426,70,8100,Bodily Injury Claims
1248,1018623,21623,84,8010,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
711,1028068,31068,49,8000,Personal Injury
763,1012682,15682,75,8000,Third Party Car Insurance Claims
981,1028142,31142,72,7990,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
665,1007021,10021,72,7990,Property Damage Claims
482,1011739,14739,40,11480,Injury by Uninsured or Underinsured Defendant
94,1028893,31893,59,7980,Reimbursement for Property Repairs
771,1011745,14745,59,4180,Third Party Car Insurance Claims
1068,1011751,14751,46,7800,Injury by Uninsured or Underinsured Defendant
342,1024252,2219535,23,7920,Injury by Uninsured or Underinsured Defendant
930,1009384,12384,23,7920,Personal Injury
1181,1014614,17614,55,7820,Property Damage Claims
780,1012049,15049,40,7000,Injury by Uninsured or Underinsured Defendant
1353,1009049,12049,70,7650,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
19,1001355,4355,17,7560,Injury by Uninsured or Underinsured Defendant
433,1002436,5436,61,7780,Property Damage Claims
958,1011067,14067,77,7700,Third Party Car Insurance Claims
805,1012338,15338,77,22000,Injury by Uninsured or Underinsured Defendant
715,1009448,12448,78,7670,Bodily Injury Claims
313,1016581,2218363,70,7650,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
945,1002556,5556,70,7650,Third Party Car Insurance Claims
775,1012400,15400,75,8000,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
608,1012429,15429,87,11620,Third Party Car Insurance Claims
109,1015298,49402,39,7560,Injury by Uninsured or Underinsured Defendant
200,1017466,20466,39,7560,Injury by Uninsured or Underinsured Defendant
1039,1010629,13629,37,7560,Personal Injury
96,1012497,15497,72,5640,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1229,1005191,8191,18,7560,Injury by Uninsured or Underinsured Defendant
278,1013541,16541,86,7520,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
442,1004009,7009,73,7520,Reimbursement for Property Repairs
1195,1017189,20189,73,7520,Third Party Car Insurance Claims
22,1024851,27851,75,7500,Reimbursement for Property Repairs
283,1003264,6264,46,7500,Property Damage Claims
896,1027016,30016,75,7500,Third Party Car Insurance Claims
790,1008544,11544,67,7310,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1206,1001713,4713,75,7500,Bodily Injury Claims
59,1023888,26888,68,7480,Third Party Car Insurance Claims
110,1001638,4638,55,7480,Property Damage Claims
251,1024462,27462,8,7480,Injury by Uninsured or Underinsured Defendant
1007,1004043,7043,83,7470,Third Party Car Insurance Claims
1099,1015462,1146,82,7470,Third Party Car Insurance Claims
1347,1018045,21045,82,7470,Bodily Injury Claims
1159,1007278,10278,62,7020,Reimbursement for Property Repairs
383,1015225,2218368,61,7391,Injury by Uninsured or Underinsured Defendant
798,1016171,19171,49,7360,Reimbursement for Property Repairs
697,1025539,28539,58,7350,Personal Injury
1204,1013965,16965,74,7350,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
180,1013350,16350,55,9520,Injury by Uninsured or Underinsured Defendant
252,1016356,19356,37,7280,Reimbursement for Property Repairs
692,1008441,11441,45,7250,Reimbursement for Property Repairs
210,1019016,22016,70,7200,Third Party Car Insurance Claims
274,1017327,20327,81,7200,Third Party Car Insurance Claims
594,1008238,11238,81,7200,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
704,1013972,16972,70,7200,Bodily Injury Claims
708,1003998,6998,69,7200,Third Party Car Insurance Claims
713,1003431,6431,69,7200,Third Party Car Insurance Claims
821,1004477,7477,70,7200,Reimbursement for Property Repairs
598,1013511,16511,56,4200,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1197,1027286,30286,79,7150,Third Party Car Insurance Claims
220,1001646,4646,64,7140,Property Damage Claims
977,1024497,47144,45,6960,Property Damage Claims
498,1026549,136177,59,6460,Bodily Injury Claims
99,1009182,12182,52,7119,Reimbursement for Property Repairs
421,1019199,22199,78,7080,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
360,1013677,16677,66,3010,Third Party Car Insurance Claims
423,1025111,28111,73,7050,Third Party Car Insurance Claims
114,1012646,15646,48,6400,Property Damage Claims
331,1026779,29779,68,7040,Third Party Car Insurance Claims
631,1004702,2217283,68,7040,Third Party Car Insurance Claims
922,1025349,28349,25,7040,Injury by Uninsured or Underinsured Defendant
1052,1024529,2218338,15,6200,Personal Injury
855,1013818,16818,74,5390,Third Party Car Insurance Claims
234,1022125,25125,75,7000,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
466,1018961,21961,58,7000,Reimbursement for Property Repairs
635,1024273,27273,75,7000,Bodily Injury Claims
728,1013102,16102,75,7000,Third Party Car Insurance Claims
403,1013899,16899,4,960,Bodily Injury Claims
46,1013924,16924,69,4050,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
521,1014135,17135,56,5950,Bodily Injury Claims
761,1006516,9516,60,6948,Third Party Car Insurance Claims
1295,1012670,49491,60,6948,Reimbursement for Property Repairs
427,1016078,19078,51,6930,Property Damage Claims
88,1014180,17180,42,4640,Property Damage Claims
1332,1008816,11816,46,6900,Personal Injury
349,1015196,18196,67,6880,Bodily Injury Claims
1279,1014180,17180,42,4350,Property Damage Claims
778,1012942,45418,67,6880,Property Damage Claims
1011,1014429,17429,80,28500,Injury by Uninsured or Underinsured Defendant
610,1023704,46178,55,6800,Reimbursement for Property Repairs
1079,1010503,13503,54,6800,Reimbursement for Property Repairs
1000,1008903,11903,76,6760,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
26,1000716,2215974,40,6720,Reimbursement for Property Repairs
237,1010799,13799,48,6720,Reimbursement for Property Repairs
749,1029379,32379,64,6720,Third Party Car Insurance Claims
1035,1014854,17854,56,7700,Reimbursement for Property Repairs
1196,1007621,10621,37,6720,Reimbursement for Property Repairs
1015,1007666,10666,44,6670,Reimbursement for Property Repairs
611,1002964,5964,13,6650,Personal Injury
541,1028144,31144,82,6640,Bodily Injury Claims
547,1019736,22736,83,6640,Third Party Car Insurance Claims
843,1017163,20163,83,6640,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1037,1002881,5881,83,6640,Bodily Injury Claims
263,1009500,12500,51,6600,Reimbursement for Property Repairs
276,1007945,10945,51,6600,Reimbursement for Property Repairs
336,1004977,7977,86,6580,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1091,1015014,18014,5,1600,Bodily Injury Claims
624,1002622,114230,73,6580,Third Party Car Insurance Claims
899,1028665,2215982,20,6510,Personal Injury
116,1015529,18529,16,12400,Injury by Uninsured or Underinsured Defendant
829,1029981,129122,75,6500,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1176,1003709,6709,79,6500,Third Party Car Insurance Claims
367,1016060,19060,78,6490,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
432,1029316,2217227,78,6490,Third Party Car Insurance Claims
595,1015001,18001,78,6490,Bodily Injury Claims
181,1010977,13977,30,6480,Reimbursement for Property Repairs
34,1011489,14489,55,6460,Reimbursement for Property Repairs
89,1015964,18964,8,6460,Injury by Uninsured or Underinsured Defendant
1112,1015802,18802,84,14240,Reimbursement for Property Repairs
623,1027942,30942,75,6000,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
339,1016150,19150,2,2730,Reimbursement for Property Repairs
886,1009800,12800,65,6450,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1257,1000267,3267,65,6450,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
71,1007487,10487,28,6440,Personal Injury
163,1024297,27297,28,6440,Injury by Uninsured or Underinsured Defendant
629,1007301,10301,85,6440,Third Party Car Insurance Claims
938,1016516,19516,79,7150,Third Party Car Insurance Claims
435,1001411,4411,81,6400,Third Party Car Insurance Claims
447,1009972,1328,63,6400,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
992,1011249,14249,74,6370,Bodily Injury Claims
512,1012812,15812,64,6300,Bodily Injury Claims
659,1006150,9150,56,6300,Bodily Injury Claims
862,1018611,21611,58,6300,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1080,1013992,16992,56,6300,Bodily Injury Claims
731,1014172,17172,41,6270,Property Damage Claims
558,1014476,17476,33,6250,Reimbursement for Property Repairs
903,1003047,6047,33,6250,Reimbursement for Property Repairs
271,1027408,30408,31,6240,Personal Injury
607,1013489,16489,61,6224,Bodily Injury Claims
1056,1016916,19916,77,3850,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
363,1017537,20537,63,4800,Bodily Injury Claims
944,1001296,2218235,68,6160,Bodily Injury Claims
1325,1000707,3707,36,6160,Personal Injury
356,1028046,31046,53,6120,Bodily Injury Claims
424,1025858,28858,55,6120,Bodily Injury Claims
502,1009011,2219315,55,6120,Reimbursement for Property Repairs
817,1000431,2218628,55,6120,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
870,1019500,126691,55,6120,Bodily Injury Claims
411,1017442,20442,34,6118,Property Damage Claims
522,1003115,6115,73,6110,Third Party Car Insurance Claims
845,1025212,28212,73,6110,Third Party Car Insurance Claims
1300,1026699,47718,73,6110,Third Party Car Insurance Claims
213,1026367,29367,52,6102,Bodily Injury Claims
1076,1021478,24478,52,6102,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
229,1007818,10818,65,6020,Bodily Injury Claims
135,1008750,11750,75,6000,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
160,1022090,25090,16,6000,Injury by Uninsured or Underinsured Defendant
465,1015901,18901,75,6000,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
585,1012548,15548,33,6000,Reimbursement for Property Repairs
722,1010701,13701,79,5850,Bodily Injury Claims
895,1019206,22206,32,6000,Property Damage Claims
511,1000855,3855,41,5985,Reimbursement for Property Repairs
947,1028784,31784,71,5980,Third Party Car Insurance Claims
664,1017804,20804,20,7980,Injury by Uninsured or Underinsured Defendant
994,1017845,20845,82,34030,Personal Injury
1345,1025001,28001,58,5950,Third Party Car Insurance Claims
218,1003185,6185,21,5940,Property Damage Claims
272,1004620,7620,51,5940,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
683,1021704,24704,23,5940,Property Damage Claims
842,1008242,2220750,51,5940,Third Party Car Insurance Claims
950,1019338,22338,39,5880,Property Damage Claims
996,1015732,18732,74,5880,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1001,1003211,6211,64,5880,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
74,1011841,14841,62,5850,Property Damage Claims
952,1012929,15929,52,5763,Bodily Injury Claims
510,1011910,14910,61,5835,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
373,1008721,11721,82,5810,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
505,1013020,16020,83,5810,Bodily Injury Claims
674,1014171,17171,82,5810,Third Party Car Insurance Claims
122,1012670,49491,60,5790,Reimbursement for Property Repairs
257,1018182,21182,43,5220,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
61,1010034,13034,55,5780,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
390,1015858,18858,54,5780,Bodily Injury Claims
539,1013564,2219625,55,5780,Bodily Injury Claims
867,1012905,15905,55,5780,Third Party Car Insurance Claims
1012,1018453,21453,86,23500,Injury by Uninsured or Underinsured Defendant
298,1011570,14570,52,5763,Injury by Uninsured or Underinsured Defendant
266,1018593,21593,5,4320,Property Damage Claims
82,1020051,23051,50,5760,Property Damage Claims
149,1012493,15493,50,5760,Third Party Car Insurance Claims
753,1024026,27026,68,5720,Bodily Injury Claims
1107,1022986,25986,76,5720,Third Party Car Insurance Claims
1114,1029313,32313,20,5670,Reimbursement for Property Repairs
437,1018821,21821,20,3780,Third Party Car Insurance Claims
289,1021920,24920,51,5610,Bodily Injury Claims
350,1006490,47577,67,5590,Third Party Car Insurance Claims
443,1020949,23949,66,5590,Third Party Car Insurance Claims
1073,1023607,2217326,65,5590,Third Party Car Insurance Claims
948,1028832,31832,85,5520,Third Party Car Insurance Claims
1047,1006248,9248,85,5520,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1163,1028743,49613,85,5520,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
303,1006498,9498,77,5500,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
492,1024379,47400,77,5500,Bodily Injury Claims
720,1008768,2218530,25,5500,Property Damage Claims
1156,1005822,8822,75,5500,Bodily Injury Claims
1243,1025941,28941,77,5500,Third Party Car Insurance Claims
1129,1018991,21991,50,2560,Bodily Injury Claims
1059,1019763,22763,17,5460,Reimbursement for Property Repairs
190,1019005,22005,78,3540,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
520,1004503,7503,62,5460,Third Party Car Insurance Claims
188,1015622,18622,53,5440,Reimbursement for Property Repairs
546,1001769,4769,48,5440,Bodily Injury Claims
827,1013871,46203,55,5440,Reimbursement for Property Repairs
1267,1000431,2218628,55,5440,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1337,1025480,28480,55,5440,Bodily Injury Claims
440,1007263,2218127,70,5400,Third Party Car Insurance Claims
513,1020240,23240,70,5400,Third Party Car Insurance Claims
1179,1026788,29788,70,5400,Bodily Injury Claims
1281,1028907,31907,70,5400,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
553,1019728,22728,86,15980,Third Party Car Insurance Claims
569,1019863,22863,56,5250,Bodily Injury Claims
491,1012963,15963,84,5340,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
839,1015610,18610,84,5340,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
740,1020091,23091,37,15680,Injury by Uninsured or Underinsured Defendant
456,1017640,45881,59,5320,Third Party Car Insurance Claims
628,1011691,14691,59,5320,Third Party Car Insurance Claims
1102,1029708,32708,40,5320,Property Damage Claims
1022,1009858,12858,78,5310,Third Party Car Insurance Claims
470,1022931,25931,26,5290,Reimbursement for Property Repairs
1218,1020149,23149,54,20060,Personal Injury
164,1026070,29070,31,5280,Reimbursement for Property Repairs
20,1020526,23526,15,23000,Loss of Value to Vehicle
603,1007613,10613,31,5280,Personal Injury
785,1013081,16081,51,5280,Bodily Injury Claims
1241,1029342,2220117,31,5280,Injury by Uninsured or Underinsured Defendant
127,1005894,8894,68,5280,Bodily Injury Claims
705,1008561,11561,80,5250,Third Party Car Insurance Claims
984,1002057,5057,56,5250,Reimbursement for Property Repairs
1307,1003368,2217140,20,5250,Property Damage Claims
789,1021270,24270,80,13500,Third Party Car Insurance Claims
294,1021325,24325,76,11440,Reimbursement for Property Repairs
384,1024580,27580,79,5200,Third Party Car Insurance Claims
622,1005780,8780,76,5200,Third Party Car Insurance Claims
776,1003982,48040,76,5200,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
318,1005586,8586,72,5170,Bodily Injury Claims
455,1029732,32732,65,5160,Bodily Injury Claims
408,1016521,19521,41,5130,Reimbursement for Property Repairs
1244,1021364,24364,6,2880,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
543,1018920,21920,13,5130,Reimbursement for Property Repairs
90,1018539,21539,48,5120,Bodily Injury Claims
716,1010991,13991,4,5120,Personal Injury
694,1021364,24364,6,1920,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1028,1023343,26343,48,5120,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1092,1011889,14889,50,5120,Injury by Uninsured or Underinsured Defendant
1142,1008299,11299,48,5120,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
374,1014032,17032,55,5100,Reimbursement for Property Repairs
516,1005839,8839,55,5100,Bodily Injury Claims
568,1005410,8410,55,5100,Third Party Car Insurance Claims
625,1004536,128748,46,5100,Bodily Injury Claims
1020,1010495,13495,54,5100,Reimbursement for Property Repairs
676,1006869,9869,62,5070,Third Party Car Insurance Claims
4,1021413,24413,61,5057,Third Party Car Insurance Claims
201,1029483,32483,61,5057,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
97,1023613,26613,36,5040,Third Party Car Insurance Claims
560,1000375,3375,30,5040,Reimbursement for Property Repairs
593,1020550,23550,20,5040,Reimbursement for Property Repairs
626,1019134,22134,36,5040,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
636,1025065,47662,37,5040,Third Party Car Insurance Claims
802,1000540,3540,32,5040,Property Damage Claims
935,1023570,26570,39,5040,Third Party Car Insurance Claims
967,1003915,6915,64,5040,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1083,1027099,30099,40,5040,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1086,1015595,18595,36,5040,Bodily Injury Claims
238,1016100,19100,75,5000,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
663,1008367,11367,15,5000,Injury by Uninsured or Underinsured Defendant
417,1007237,10237,83,4980,Bodily Injury Claims
681,1021321,24321,82,4980,Bodily Injury Claims
81,1004262,7262,70,4950,Bodily Injury Claims
179,1018431,48846,51,4950,Reimbursement for Property Repairs
431,1011799,14799,77,4950,Third Party Car Insurance Claims
506,1012333,15333,77,4950,Bodily Injury Claims
85,1021749,24749,84,14240,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1128,1013961,16961,51,4950,Property Damage Claims
314,1021985,24985,28,2760,Third Party Car Insurance Claims
717,1022027,25027,77,29150,Injury by Uninsured or Underinsured Defendant
911,1022067,25067,79,7800,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
293,1003127,6127,43,4930,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
514,1008894,11894,43,4930,Third Party Car Insurance Claims
848,1029841,32841,43,4930,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1115,1004501,7501,43,4930,Bodily Injury Claims
1183,1007027,10027,10,4930,Injury by Uninsured or Underinsured Defendant
1171,1024802,27802,45,5220,Bodily Injury Claims
195,1011814,14814,57,4900,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
570,1008546,2217376,58,4900,Third Party Car Insurance Claims
684,1005184,2219703,68,4840,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1026,1002992,46870,25,4840,Property Damage Claims
451,1022655,25655,71,3220,Bodily Injury Claims
537,1003646,6646,41,5130,Bodily Injury Claims
1212,1022909,25909,87,71380,Injury by Uninsured or Underinsured Defendant
37,1022698,25698,46,4800,Injury by Uninsured or Underinsured Defendant
830,1009551,12551,59,4940,Bodily Injury Claims
544,1018749,21749,81,4800,Bodily Injury Claims
641,1002235,5235,50,4800,Bodily Injury Claims
828,1009633,12633,50,4800,Bodily Injury Claims
875,1001298,2216381,81,4800,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1191,1019149,22149,48,4800,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
31,1012244,15244,36,4760,Injury by Uninsured or Underinsured Defendant
777,1023236,26236,72,7050,Personal Injury
648,1016103,19103,54,4760,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
816,1006319,9319,40,4760,Third Party Car Insurance Claims
851,1029556,32556,53,4760,Bodily Injury Claims
1125,1023736,26736,36,4760,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
388,1010648,13648,52,4746,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
86,1012267,15267,67,4730,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
111,1011797,14797,67,4730,Bodily Injury Claims
710,1002192,128918,67,4730,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
898,1028557,2217311,78,4720,Third Party Car Insurance Claims
1138,1016936,19936,78,4720,Bodily Injury Claims
1305,1026237,29237,78,4720,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1349,1016594,19594,78,4720,Third Party Car Insurance Claims
1043,1016725,19725,72,4700,Bodily Injury Claims
1058,1023272,26272,55,3740,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1209,1010142,13142,76,4680,Third Party Car Insurance Claims
1321,1019841,2215841,76,4680,Bodily Injury Claims
215,1017699,20699,61,4668,Bodily Injury Claims
299,1023315,26315,40,8400,Personal Injury
1266,1004501,7501,43,4640,Bodily Injury Claims
1224,1001836,4836,60,4632,Bodily Injury Claims
57,1001038,4038,25,4620,Reimbursement for Property Repairs
326,1028136,31136,64,4620,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
407,1020092,2220846,23,4620,Reimbursement for Property Repairs
340,1015401,18401,28,4600,Personal Injury
366,1028854,31854,8,4590,Property Damage Claims
495,1007333,48543,35,4590,Bodily Injury Claims
1133,1009690,2220217,14,4560,Personal Injury
48,1027965,48725,57,4550,Third Party Car Insurance Claims
797,1007690,10690,58,4550,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1309,1007329,10329,42,4930,Personal Injury
104,1008889,11889,12,4500,Property Damage Claims
106,1019097,22097,47,4500,Third Party Car Insurance Claims
727,1001231,4231,80,4500,Bodily Injury Claims
1053,1024001,27001,25,3520,Bodily Injury Claims
980,1005180,137299,75,4500,Bodily Injury Claims
1286,1013549,16549,46,4500,Bodily Injury Claims
18,1010403,13403,38,4480,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
27,1020479,23479,39,4480,Third Party Car Insurance Claims
382,1003577,6577,6,4480,Injury by Uninsured or Underinsured Defendant
588,1021150,24150,36,4480,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
653,1003669,6669,40,4480,Bodily Injury Claims
861,1024793,27793,50,4480,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1110,1013073,16073,48,4480,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
496,1003004,6004,54,4420,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
758,1022344,25344,10,4420,Property Damage Claims
219,1003368,2217140,20,4830,Property Damage Claims
1019,1004983,7983,53,4420,Bodily Injury Claims
378,1016813,19813,17,4410,Property Damage Claims
330,1025941,28941,77,4400,Third Party Car Insurance Claims
471,1010698,2220912,24,4400,Property Damage Claims
574,1024555,27555,23,5280,Injury by Uninsured or Underinsured Defendant
1140,1002817,5817,68,4400,Bodily Injury Claims
172,1019523,22523,42,4350,Injury by Uninsured or Underinsured Defendant
587,1002813,5813,45,4350,Property Damage Claims
822,1012323,15323,45,4350,Third Party Car Insurance Claims
474,1024595,27595,63,14800,Personal Injury
563,1024695,27695,84,11570,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
304,1016682,19682,31,4320,Property Damage Claims
773,1022064,25064,35,4320,Reimbursement for Property Repairs
921,1002101,5101,32,4320,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1202,1028459,31459,30,4320,Reimbursement for Property Repairs
267,1022215,25215,65,4300,Third Party Car Insurance Claims
1327,1007818,10818,65,4300,Bodily Injury Claims
1348,1029732,32732,65,4300,Bodily Injury Claims
1318,1022732,25732,51,4290,Third Party Car Insurance Claims
1109,1017027,20027,61,4279,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
814,1010889,13889,33,4250,Bodily Injury Claims
687,1002345,5345,72,4230,Third Party Car Insurance Claims
1049,1028799,47971,72,4230,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
295,1024696,27696,40,4760,Property Damage Claims
77,1014422,17422,58,4200,Bodily Injury Claims
233,1024333,27333,56,4200,Bodily Injury Claims
467,1007812,10812,64,4200,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
152,1024721,27721,85,103040,Loss of Value to Vehicle
759,1028431,31431,47,4200,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
892,1011527,14527,37,4200,Property Damage Claims
